ID,Title,Section,Priority,Type,Preconditions,Steps,Expected Result
TC-VCST-4589-001,Verify "Purchasing" group exists and displays correctly,1. Menu Structure,Critical,Functional,"1. QA environment is accessible at ${FRONT_URL} (from .env)
2. Test user logged in: ${USER_EMAIL} / ${USER_PASSWORD} (from .env)
3. User navigates to Account area","1. Navigate to ${FRONT_URL}
2. Log in with test user credentials
3. Click on Account icon/link in header
4. Inspect left rail menu
5. Locate ""Purchasing"" group in menu
6. Verify ""Purchasing"" group position","Expected: ""Purchasing"" menu group exists with correct title and positioning. Group displays with title ""Purchasing"" or translated key, positioned as first menu group (above User, Marketing, Corporate)."
TC-VCST-4589-002,Verify "Purchasing" group contains correct menu items,1. Menu Structure,Critical,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. ""Purchasing"" group visible in left rail menu","1. Expand ""Purchasing"" group (if collapsed)
2. Count menu items in ""Purchasing"" group
3. Verify item 1: Dashboard (icon: dashboard-2, priority: 10)
4. Verify item 2: Orders (icon: clipboard-list, priority: 20)
5. Verify item 3: Lists (icon: list-v2, priority: 30)
6. Verify item 4: Saved for Later (icon: bookmark-solid, priority: 60)
7. Verify menu item ordering","Expected: ""Purchasing"" group contains exactly 4 items (Dashboard, Orders, Lists, Saved for Later) in correct order with correct labels and icons."
TC-VCST-4589-003,Verify "User" group exists and contains correct menu items,1. Menu Structure,Critical,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. Left rail menu visible","1. Locate ""User"" group in left rail menu
2. Expand ""User"" group (if collapsed)
3. Count menu items in ""User"" group
4. Verify item 1: Profile (icon: profile, priority: 10)
5. Verify item 2: Addresses (icon: source-environment, priority: 20)
6. Verify item 3: Change Password (icon: pass, priority: 30)
7. Verify item 4: Saved Credit Cards (icon: credit-card, priority: 40)
8. Verify menu item ordering","Expected: ""User"" group exists with correct title, contains exactly 4 items (Profile, Addresses, Change Password, Saved Credit Cards) in correct order with correct labels and icons."
TC-VCST-4589-004,Verify "Marketing" group exists as empty placeholder,1. Menu Structure,High,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. Left rail menu visible","1. Locate ""Marketing"" group in left rail menu
2. Check ""Marketing"" group children array
3. Verify ""Marketing"" group is collapsible/non-interactive","Expected: ""Marketing"" group exists as placeholder with correct title, positioned between ""Purchasing"" and ""User"" groups. Group has no child menu items (empty array). This is expected as placeholder for VCST-4590."
TC-VCST-4589-005,Verify "Corporate" group remains unchanged,1. Menu Structure,High,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. Left rail menu visible
4. Test user belongs to an organization (for Corporate menu to be visible)","1. Locate ""Corporate"" group in left rail menu
2. Expand ""Corporate"" group (if collapsed)
3. Count menu items in ""Corporate"" group
4. Verify item 1: Company Info (icon: case)
5. Verify item 2: Company Members (icon: user-group)
6. Compare with baseline","Expected: ""Corporate"" group exists with original structure. Contains 2 items: Company Info, Company Members. Icons and labels unchanged. No regressions introduced."
TC-VCST-4589-006,Verify menu item count and distribution across groups,1. Menu Structure,High,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. All menu groups visible in left rail","1. Count total menu items in ""Purchasing"" group
2. Count total menu items in ""Marketing"" group
3. Count total menu items in ""User"" group
4. Count total menu items in ""Corporate"" group
5. Calculate total menu items (excluding Corporate)
6. Compare with baseline
7. Verify no menu items were removed","Expected: Total menu items: 8 (same as baseline). Distribution: Purchasing (4) + Marketing (0) + User (4) = 8. No menu items removed or added (only reorganized). All original items present in new grouped structure."
TC-VCST-4589-007,Verify menu group hierarchy and nesting,1. Menu Structure,Medium,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. Left rail menu visible","1. Inspect menu DOM structure
2. Verify ""Purchasing"" group nesting
3. Verify ""Marketing"" group nesting
4. Verify ""User"" group nesting
5. Verify ""Corporate"" group nesting
6. Verify no deeply nested groups
7. Verify group indentation/visual hierarchy","Expected: Menu uses proper parent-child hierarchy. Groups are parent nodes. Menu items are child nodes (no deeper nesting). Visual hierarchy clear (indentation, spacing)."
TC-VCST-4589-008,Navigate to Dashboard from Purchasing group,2. Navigation Functionality,Critical,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. ""Purchasing"" group expanded (if collapsible)","1. Click on ""Dashboard"" menu item in ""Purchasing"" group
2. Verify page content
3. Verify menu state
4. Verify breadcrumb (if present)","Expected: Dashboard page loads successfully. URL: ${FRONT_URL}/account or /dashboard. ""Dashboard"" menu item highlighted/active. Page content renders without errors."
TC-VCST-4589-009,Navigate to Orders from Purchasing group,2. Navigation Functionality,Critical,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. ""Purchasing"" group expanded","1. Click on ""Orders"" menu item in ""Purchasing"" group
2. Verify page content
3. Verify menu state
4. Verify breadcrumb (if present)","Expected: Orders page loads successfully. URL: ${FRONT_URL}/account/orders. ""Orders"" menu item highlighted/active. Order list displays (empty or populated)."
TC-VCST-4589-010,Navigate to Lists from Purchasing group,2. Navigation Functionality,Critical,Functional,"1. QA environment accessible
2. Test user logged in and on Account page
3. ""Purchasing"" group expanded","1. Click on ""Lists"" menu item in ""Purchasing"" group
2. Verify page content
3. Verify menu state
4. Verify breadcrumb (if present)","Expected: Lists page loads successfully. URL: ${FRONT_URL}/account/lists or /lists. ""Lists"" menu item highlighted/active. Lists display (empty or populated)."
