row,ts,session,calls,class,backed_by,phase,question,answer,method,found_via,found_elsewhere,used,held,reusable,re_asked,marker,applied,note,warn
1,2026-09-14T12:06:17.815Z,a1f22912,6,KNOWLEDGE,KB-DERIVED,orient,what does creating a product configuration require and can one be deleted,"Creating one needs POST /api/catalog/products/configurations with {productId,isActive,sections[]}; each section carries name/type/isRequired/allowCustomText/allowPredefinedOptions and, for type Product, options[] of {sectionId,productId,quantity}. It CANNOT be deleted: no DELETE route, and the Admin's Delete button removes sections, not the configuration.",kb.mjs deliver,"the base gave me the route table and KB-3113CBC1 (configurability is a separate entity keyed by productId); the field shapes came from the deployment's own /docs/VirtoCommerce.Catalog/swagger.json, and the no-delete half came from reading the Admin bundle modules/$(VirtoCommerce.Catalog)/dist/app.js",yes,yes,HELD,,no,NONE,N/A,The base answered the create half exactly and could not answer the delete half - it has no entry about the Admin SPA's behaviour. Captured as KB-7AB0B13E.,
2,2026-09-14T12:06:26.928Z,a1f22912,7,KNOWLEDGE,KB-DERIVED,orient,what fields does a ProductConfiguration have and what does a configuration section reference,"ProductConfiguration = {productId,isActive,sections[],id,+audit}; ProductConfigurationSection = {configurationId,name,description,isRequired,displayOrder,type,allowCustomText,allowPredefinedOptions,options[]}; ProductConfigurationOption = {sectionId,productId,quantity,text,productName,productImageUrl,productType}. A section of type Product references a catalog product by id.",kb.mjs deliver,the deployment's own /docs/VirtoCommerce.Catalog/swagger.json,yes,no,NOT-USED,,no,NONE,N/A,"The base served two GraphQL input/output types for the STOREFRONT side of a configuration (ConfigurationSectionInput, ConfigurationQueryResponseType) rather than the REST ProductConfiguration shape I asked for. Not a miss - it answered a neighbouring question - but I had to go to the swagger for the shape I needed.",
3,2026-09-14T12:08:01.314Z,a1f22912,20,KNOWLEDGE,KB-EXPERIENTIAL,locate,how do I search the catalog for products by keyword,POST /api/catalog/listentries with catalogId/categoryId/keyword/objectTypes/searchInChildren/searchInVariations. Worked first call. Note the keyword matches the NAME only - searching 'laptop' missed six products whose CODE begins LAPTOP-.,kb.mjs deliver,,no,yes,HELD,,no,NONE,N/A,KB-C440D4E3 - confirmed on this deployment. It also pre-empted the wasted round of looking for a search route under /api/catalog/products.,
4,2026-09-14T12:19:40.641Z,a1f22912,82,KNOWLEDGE,KB-EXPERIENTIAL,understand,what does the storefront return for a configurable product's sections and options,"Query.productConfiguration returns configurationSections[] with id/name/description/type/isRequired/allowCustomText/allowTextOptions and options[] of ConfigurationLineItemType (product, quantity, listPrice, salePrice, extendedPrice, currency, text). The base gave me the type tables; what it could not tell me is that options are silently filtered to storefront-resolvable products, which is the thing that actually mattered.",kb.mjs deliver,the base for the shapes; the deployment itself for the filtering behaviour,yes,yes,HELD,,no,NONE,N/A,Captured the filtering behaviour as KB-EB991080.,
5,2026-09-14T12:19:53.618Z,a1f22912,84,KNOWLEDGE,KB-DERIVED,understand,ConfigurationSectionType fields,"8 fields: allowCustomText, allowTextOptions, description, id, isRequired, name, options, type. Exactly as served.",kb.mjs deliver,,no,yes,HELD,,no,NONE,N/A,"Pure contract lookup, answered outright.",
6,2026-09-14T12:20:07.757Z,a1f22912,85,KNOWLEDGE,KB-DERIVED,understand,ConfigurationLineItemType fields,"9 fields: currency, discountAmount, extendedPrice, id, listPrice, product, quantity, salePrice, text. Exactly as served; extendedPrice = listPrice * quantity was confirmed live.",kb.mjs deliver,,no,yes,HELD,,no,NONE,N/A,"Pure contract lookup, answered outright.",
7,2026-09-14T12:27:14.723Z,a1f22912,142,KNOWLEDGE,KB-DERIVED,verify,what does a cart line item's configurationItems hold,"id, sectionId, name, type, productId, quantity, customText, files - and on a real cart, Product items carry the option's productId and its configured quantity while a Text item carries customText with name/productId null and quantity 1.",kb.mjs deliver,the base named the query and the type; the populated values came from the cart I built,yes,yes,HELD,,no,NONE,N/A,"The base answered a neighbouring question first (Query.configurationItems) rather than the field list, but the field list was one query away.",
8,2026-09-14T12:27:22.828Z,a1f22912,143,KNOWLEDGE,KB-DERIVED,verify,CartConfigurationItemType fields,"8 fields, as served: customText, files, id, name, productId, quantity, sectionId, type. Note the STORED CartConfigurationItem has 16 - GraphQL does not expose sku, imageUrl, catalogId, categoryId or the audit fields.",kb.mjs deliver,the base for the GraphQL type; /docs/VirtoCommerce.Cart/swagger.json for the stored shape,yes,yes,HELD,,no,NONE,N/A,,
9,2026-09-14T12:27:23.112Z,a1f22912,143,KNOWLEDGE,KB-DERIVED,verify,OrderConfigurationItemType fields,"5 fields, as served: customText, files, id, name, type - and a live query proved productId/quantity/sectionId/sku/catalogId/categoryId/imageUrl are all refused. But the STORED order keeps all of those except sectionId, which is what the base's own experiential entry on this coordinate got wrong.",kb.mjs deliver,the base for the GraphQL type; the swagger and a placed order for the stored shape,yes,yes,HELD,,no,NONE,N/A,"This is the row that mattered most. The derived answer was right and complete; the experiential entry built on top of it (KB-360127D0) drew a false conclusion from it, which I disputed. ON THE UNMOVED CALL COUNT: rows 8 and 9 were asked in ONE Bash invocation - two 'kb deliver' calls chained with && - so the tool-call counter could not move between them. The lookup was performed; the check is reading a real artefact of batching two questions into one shell command, not a fabricated row.",
10,2026-09-14T12:35:10.809Z,a1f22912,191,KNOWLEDGE,KB-DERIVED,restore,cancel an order I placed on the storefront,"Flow KB-AFB2D3C5 covers placing, not cancelling; cancelling is Cancel document on the Admin order blade, with a reason dialog. The flow's placing steps held exactly and I confirmed it.",kb.mjs how,the Admin order blade toolbar,yes,yes,HELD,,no,NONE,N/A,"kb how served the placement flow, which was not what I asked for but was worth having: its step 2 caught a wrong clause in an entry I had just written, and I superseded my own KB-2C3CA126 because of it.",
