ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
TC-001,Default Layout - Variation Link Renders and Is Clickable (Slug Present),Product Page / Variations - Default Layout,Functional,P1,5m,"1. QA environment accessible at ${FRONT_URL}. 2. A product with variations in default (card/list) layout exists. 3. At least one variation has a slug configured in Admin catalog. 4. Guest browse (no login required).","1. Navigate to ${FRONT_URL}
2. Navigate to the product page with default-layout variations (e.g., /products-with-options or direct product URL)
3. Scroll down to the Variations section
4. Hover the mouse cursor over a variation item (name or image area)
5. Note the href attribute of the variation link via status bar or right-click Inspect
6. Click on the variation item (name or image area)
7. Observe the loaded page URL in the browser address bar
8. Verify the product page content matches the clicked variation
9. Open browser DevTools (F12) Console tab","- Variation item is rendered as a clickable link (cursor: pointer on hover)
- URL preview shows ${FRONT_URL}/{variation-slug}
- After click: URL is ${FRONT_URL}/{variation-slug} with no /product/ prefix
- Correct variation product page displays (name, images, properties match clicked variation)
- Zero JavaScript console errors",VCST-4530,To be automated
TC-002,Default Layout - Variation Link Renders Using ID Fallback (No Slug),Product Page / Variations - Default Layout,Functional,P2,5m,"1. A product with at least one variation that has NO slug configured in Admin catalog. 2. The variation has a valid id.","1. Navigate to the parent product page containing the slug-less variation
2. Open browser DevTools Network tab, filter by graphql, find the products query response and note the variation id
3. Hover over the slug-less variation item in the default layout
4. Check href in status bar
5. Click on the slug-less variation item
6. Check the browser URL
7. Verify page content matches the variation
8. Check DevTools Console","- Link href shows ${FRONT_URL}/product/{variation-id}
- After click: URL is ${FRONT_URL}/product/{variation-id} (ID-based route used)
- Correct variation product page loads
- No JavaScript console errors",VCST-4530,To be automated
TC-003,Table Layout (Desktop) - Variation Title Is a Clickable Link (Slug Present),Product Page / Variations - Table Layout,Functional,P1,5m,"1. Browser viewport at desktop width minimum 1280px (use 1920x1080). 2. A product page with ProductVariationsLayout property set to Table. 3. At least one variation has a slug configured.","1. Navigate to the product page with table-layout variations at desktop viewport (1920x1080)
2. Locate the Item column header in the variations table
3. Hover over the variation name text in the first row of the Item column
4. Note the link href by checking status bar or right-click Inspect
5. Click on the variation name in the Item column
6. Verify browser URL
7. Verify page content is the correct variation
8. Press browser Back button
9. Check DevTools Console","- Item column exists with variation names styled as hyperlinks (cursor: pointer, underline or color per Coffee theme)
- href equals /{variation-slug}
- After click: URL is ${FRONT_URL}/{variation-slug}
- Correct variation page loads; other table columns (properties, stock, price, quantity) are unaffected
- Back button returns to parent product page with variations table intact
- No JS console errors",VCST-4530,To be automated
TC-004,Table Layout (Desktop) - Variation Title Link Falls Back to ID Route (No Slug),Product Page / Variations - Table Layout,Functional,P2,5m,"1. Desktop viewport (>= 1280px). 2. Product with table layout containing a variation that has NO slug configured.","1. Navigate to the product page with table layout
2. Identify the variation row for a slug-less variation (verify via Network tab GraphQL response if needed)
3. Hover over the variation name in that row
4. Click the variation name
5. Verify URL is /product/{variation-id}
6. Verify correct variation page content
7. Check DevTools Console","- Hover shows href: ${FRONT_URL}/product/{variation-id}
- After click: URL is ${FRONT_URL}/product/{variation-id}
- Correct variation page loads
- No JavaScript errors",VCST-4530,To be automated
TC-005,Link Shareability - Copied URL Opens Correct Variation Page in New Session,Product Page / Variations - Shareability,Functional,P1,10m,"1. Product with at least 2 variations each with distinct slugs. 2. Access to a second browser window or incognito/private mode.","1. Navigate to the parent product page (either layout) — variations with clickable links are visible
2. Right-click on the first variation link and select Copy link address
3. Paste the URL into a text editor to verify its format
4. Open a new incognito/private browser window (no cookies, no history)
5. Paste the copied URL into the incognito window address bar and press Enter
6. Verify the loaded page displays the correct variation
7. Repeat steps 2-6 for a second variation from the same product","- Copied URL format is ${FRONT_URL}/{variation-slug} or ${FRONT_URL}/product/{id}
- Fresh-session page load (HTTP 200) displays the exact variation that was linked: name, images, SKU, description all match
- No redirect to parent product and no 404
- Second variation's direct URL also loads its own correct variation page",VCST-4530,Manual
TC-006,Variation Link Opens in Same Browser Tab (Default Navigation Behavior),Product Page / Variations,Functional,P2,3m,"1. Product page with variations in either layout. 2. No special browserTarget new-tab configuration in store config.","1. Navigate to product page with variations
2. Note the current number of open browser tabs (should be 1)
3. Left-click (standard click) on a variation link
4. Verify the number of open browser tabs
5. Verify browser Back button is available and returns to previous product page","- Standard left-click navigates within the current tab (tab count stays at 1)
- Browser Back button is available and returns to the parent product page
- No unintended new tab opened on standard left-click",VCST-4530,To be automated
TC-007,Add-to-Cart Works Correctly — Link Does Not Intercept Cart Button Clicks,Product Page / Variations - Regression,Regression,P1,10m,"1. Signed in as B2B user (USER_EMAIL/USER_PASSWORD) or browsing as guest. 2. Product page with variations in both default layout and table layout. 3. Cart is empty at start.","1. Navigate to product page with variations in default layout
2. Locate the Add to Cart button or quantity stepper for the first variation
3. Set quantity to 1 (if stepper shown)
4. Click the Add to Cart button for the variation
5. Verify the current page URL has NOT changed
6. Navigate to product page with table layout variations
7. Click Add to Cart button in the table Quantity column for a variation
8. Verify page URL has NOT changed
9. Navigate to cart page (${FRONT_URL}/cart)
10. Verify both added variations appear in the cart","- Success notification (toast) appears; cart icon badge increments by 1 for each Add to Cart action
- Page URL does NOT change after clicking Add to Cart — the click does NOT trigger variation page navigation
- Cart page shows both variations with correct names and quantities
- No console errors throughout",VCST-4530,To be automated
TC-008,Mobile - Default Layout Variation Links Render and Are Tappable,Product Page / Variations - Mobile,Functional,P1,10m,"1. Browser DevTools device emulation set to iPhone 14 (390x844) or physical mobile device. 2. Product page with variations in default layout. 3. Guest browse.","1. Open ${FRONT_URL} on mobile viewport (390x844)
2. Navigate to the product page with default-layout variations
3. Scroll down to the Variations section
4. Inspect the visual layout of each variation card for mobile rendering
5. Tap on a variation item (name or image area — the linked zone)
6. Verify the variation page URL
7. Verify the variation page content
8. Tap browser Back button
9. Tap the Add to Cart button on a different variation (not the linked area)","- Variations section is visible and scrollable; no overflow or broken layout on mobile
- Each variation card shows: image, name, properties, price, Add to Cart button — all readable without horizontal scroll
- Tap on name/image navigates to the variation product page (correct URL and content)
- Browser Back returns to parent product variations section
- Tap on Add to Cart does NOT trigger link navigation (tap targets are distinct)
- No layout breakage; no JS errors",VCST-4530,To be automated
TC-009,Table Layout - Mobile Viewport Renders Without Breaking,Product Page / Variations - Table Layout Mobile,Functional,P2,5m,"1. Mobile viewport (390x844 or < 1024px width). 2. Product page with table layout variations.","1. Open product page with table layout on mobile viewport (< 1024px wide)
2. Scroll to the Variations section
3. Verify which template VcTable uses on mobile (should be mobile/responsive state not desktop-body)
4. Verify variations are still displayed in a usable format
5. Inspect DOM via DevTools Elements tab for any malformed links
6. Check DevTools Console
7. Interact with any visible controls (e.g., Add to Cart)","- VcTable renders its mobile/responsive state on viewports < 1024px; the #desktop-body slot (containing VcProductTitle :to) is NOT rendered on mobile
- Variations are displayed in a readable and usable mobile format
- No malformed anchor tags (no href='undefined' or href='')
- No JS errors or warnings in console
- Interactive controls (Add to Cart) work correctly on mobile",VCST-4530,To be automated
TC-010,Edge Case - Variation With Neither Slug Nor Valid ID Renders Without Broken Link,Product Page / Variations - Edge Cases,Negative,P3,5m,"Edge case: a variation with empty/null id and no slug. This may require test data creation. If data not available execute via DOM inspection of existing variation pages.","1. Navigate to a product page with variations (or create test data with a null-id variation if possible)
2. Open DevTools Elements tab and inspect the rendered HTML of variation items
3. Look for any anchor tags with href='undefined', href='null', href='#', or empty href
4. Verify variation items still display name, price, and Add to Cart correctly
5. Check DevTools Console for Vue prop warnings or JS errors","- When getProductRoute returns undefined (no id and no slug), no clickable anchor tag is rendered or the route prop is absent/undefined — no broken href values
- Variation item still renders its content (name, price, Add to Cart) correctly even without a link
- No Vue warnings about invalid prop values for the route/to prop
- No JavaScript errors",VCST-4530,Manual
