CFG-GQL-001,GraphQL productConfiguration Query Returns Product Section Type with Options,Configurable Products > GraphQL xAPI > Product Section,Critical,BL-CFG-001,ECL-7.1,"User authenticated with Bearer token. Configurable Hat product exists at {{FRONT_URL}}/products-with-options/configurable-caps-shirts/configurable-hat with Product-type configuration sections.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_slug=configurable-hat","[AUTH] Obtain Bearer token via POST {{BACK_URL}}/connect/token with {{USER_EMAIL}}/{{USER_PASSWORD}}; [GQL] POST {{BACK_URL}}/graphql with query { productConfiguration(configurableProductId: ""configurable-hat-product-id"" storeId: {{STORE_ID}}) { configurationSections { id name description type isRequired options { id quantity listPrice { amount } salePrice { amount } extendedPrice { amount } product { id name code } } } } }; [VAR] Extract configurationSections array from response","[ERRORS] errors[] is empty in response; [DATA] configurationSections[] contains at least one section with type=Product; [DATA] Product section options[] each contain id; quantity; salePrice.amount; extendedPrice.amount; [DATA] options[].product contains id; name; code (non-null); [NULL] response.data.productConfiguration is not null","[ROUNDTRIP] Query result matches admin configuration setup; [CONSOLE] No errors if queried via browser GraphiQL","errors[] non-empty despite HTTP 200; type field missing or null; options[] empty; product.name null for Product section options",none,GAP-CFG-001,Automated
CFG-GQL-002,GraphQL productConfiguration Query Returns Text Section Type,Configurable Products > GraphQL xAPI > Text Section,Critical,BL-CFG-001,ECL-7.1,"User authenticated. Base product EN (slug 111111) exists with Text properties (Custom1; Custom2; Custom3).","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_slug=111111","[AUTH] Obtain Bearer token via POST {{BACK_URL}}/connect/token; [GQL] POST {{BACK_URL}}/graphql with query { productConfiguration(configurableProductId: ""111111-product-id"" storeId: {{STORE_ID}}) { configurationSections { id name type isRequired options { id product { properties { name value } } } } } }; [VAR] Extract Text-type sections from response","[ERRORS] errors[] is empty; [DATA] configurationSections[] contains at least one section with type=Text; [DATA] Text section has isRequired field as boolean; [DATA] Text section options may contain propertyDictItems or empty options list for freetext; [NULL] response.data.productConfiguration is not null","[ROUNDTRIP] Text section type matches admin configuration; [ADMIN] Text section visible in admin product Configuration tab","errors[] non-empty; type=Text not found in sections; response null; HTTP 500",none,GAP-CFG-001,Automated
CFG-GQL-003,GraphQL productConfiguration Query Returns File Section Type,Configurable Products > GraphQL xAPI > File Section,Critical,BL-CFG-001,ECL-7.1,"User authenticated. Hoodie Base (File optional) product exists at slug physical with File-type section.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}; product_slug=physical","[AUTH] Obtain Bearer token via POST {{BACK_URL}}/connect/token; [GQL] POST {{BACK_URL}}/graphql with query { productConfiguration(configurableProductId: ""physical-product-id"" storeId: {{STORE_ID}}) { configurationSections { id name type isRequired options { id } } } }; [VAR] Extract File-type section from response","[ERRORS] errors[] is empty; [DATA] configurationSections[] contains at least one section with type=File; [DATA] File section isRequired=false for Hoodie Base (File optional); [NULL] response.data.productConfiguration is not null","[ROUNDTRIP] File section type matches admin setup; [ADMIN] File section visible in admin Configuration tab","errors[] non-empty; type=File not found; isRequired value incorrect; response null",none,GAP-CFG-001,Automated
CFG-GQL-004,addItem Mutation with Product Section configurationItems Adds to Cart,Configurable Products > GraphQL xAPI > Add to Cart,Critical,BL-CFG-001; BL-CFG-002,ECL-7.1; ECL-14.1,"User authenticated. Configurable Hat product ID and Product section option IDs known. Cart is empty.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [SETUP] Ensure cart is empty via removeCartItem mutations if needed; [GQL] POST {{BACK_URL}}/graphql with mutation addItem(command: { storeId: {{STORE_ID}} userId: <user-id> productId: <configurable-hat-id> quantity: 1 configurationSections: [{ sectionId: <product-section-id> optionIds: [<option-id>] }] }) { id items { id quantity configurationItems { sectionId optionId } } errors { code description } }; [VAR] Extract cart item id and configurationItems from response","[ERRORS] addItem mutation errors[] is empty; [DATA] response items[] contains new item with configurationItems[] present; [DATA] configurationItems[].sectionId matches the Product section id; [COUNT] cart items count incremented by 1; [MATH] cart item price = base price + selected option extendedPrice","[ROUNDTRIP] Follow-up cart query confirms item with configurationItems persisted; [STOREFRONT] Cart page at {{FRONT_URL}}/cart shows the configured item; [CONSOLE] No errors","errors[] non-empty despite HTTP 200; configurationItems[] empty; cart count unchanged; price incorrect",Remove cart item via removeCartItem mutation after test,GAP-CFG-001,Automated
CFG-GQL-005,addItem Mutation with Text Section configurationItems,Configurable Products > GraphQL xAPI > Text Add to Cart,High,BL-CFG-001; BL-CFG-002,ECL-7.1,"User authenticated. Base product EN (111111) has Text section. Cart empty.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [SETUP] Ensure cart empty; [GQL] POST {{BACK_URL}}/graphql with mutation addItem with configurationSections containing Text section sectionId and custom text value; [VAR] Extract configurationItems from response","[ERRORS] addItem mutation errors[] is empty; [DATA] configurationItems[] contains Text section data with custom value preserved; [COUNT] cart items count incremented by 1","[ROUNDTRIP] Cart query confirms text value persisted in configurationItems; [CONSOLE] No errors","errors[] non-empty; text value lost in configurationItems; cart count unchanged",Remove cart item after test,GAP-CFG-001,Automated
CFG-GQL-006,updateConfigurationItem Mutation Changes Product Section Selection,Configurable Products > GraphQL xAPI > Update Product Section,High,BL-CFG-003,ECL-7.1,"User authenticated. Cart contains configurable product with Product section (option A selected). Second option ID known.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [SETUP] Add configurable product with Product section option A to cart; [VAR] Note lineItemId; [GQL] POST {{BACK_URL}}/graphql with mutation updateConfigurationItem changing Product section to option B; [VAR] Extract updated configurationItems","[ERRORS] updateConfigurationItem errors[] is empty; [DATA] configurationItems[].optionId matches option B (not option A); [MATH] Cart item price updated to reflect option B extendedPrice; [COUNT] Cart item count unchanged (no duplicate)","[ROUNDTRIP] Cart query confirms option B in configurationItems; [STOREFRONT] Cart page reflects updated option; [CONSOLE] No errors","errors[] non-empty; option A still shown after update; duplicate line item created; price unchanged",Remove cart item after test,GAP-CFG-001,Automated
CFG-GQL-007,updateConfigurationItem Mutation Changes Text Section Value,Configurable Products > GraphQL xAPI > Update Text Section,Medium,BL-CFG-003,ECL-7.1,"User authenticated. Cart contains configurable product with Text section (original text entered).","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [SETUP] Add configurable product with Text section value A to cart; [VAR] Note lineItemId; [GQL] POST {{BACK_URL}}/graphql with mutation updateConfigurationItem changing Text section to new value B; [VAR] Extract updated configurationItems","[ERRORS] updateConfigurationItem errors[] is empty; [DATA] Text section value updated to B (not A); [COUNT] Cart item count unchanged","[ROUNDTRIP] Cart query confirms new text value B; [CONSOLE] No errors","errors[] non-empty; text value unchanged; new line item created instead of update",Remove cart item after test,GAP-CFG-001,Automated
CFG-GQL-008,GraphQL Error Handling for Invalid configurationId and Missing Required Sections,Configurable Products > GraphQL xAPI > Error Handling,High,BL-CFG-001,ECL-7.1; ECL-14.1,"User authenticated. Valid configurable product ID and section IDs known.","store_id={{STORE_ID}}; back_url={{BACK_URL}}; user={{USER_EMAIL}}; password={{USER_PASSWORD}}","[AUTH] Obtain Bearer token; [GQL] POST {{BACK_URL}}/graphql with addItem using non-existent configurableProductId (00000000-0000-0000-0000-000000000000); [VAR] Capture errors[] from response; [GQL] POST {{BACK_URL}}/graphql with addItem for valid configurable product but omit required section from configurationSections; [VAR] Capture errors[] from second response","[ERRORS] Non-existent configurationId: errors[] is non-empty with descriptive error code; [ERRORS] Missing required section: errors[] is non-empty indicating required section not provided; [DATA] No cart item created for either invalid request; [NULL] No null pointer exceptions in response","[ROUNDTRIP] Cart query confirms no items added from invalid requests; [CONSOLE] No unhandled 500 errors — controlled 4xx/validation errors expected","HTTP 500 instead of controlled error; errors[] empty for invalid input; cart item silently created with invalid config; null pointer in response",none,GAP-CFG-001,Automated
CFG-ADM-001,Admin Create Product Section in Configuration Blade,Configurable Products > Admin UI > Product Section CRUD,High,,ECL-14.1,"Admin logged in at {{BACK_URL}}. A configurable product exists in catalog. Standalone option products exist to reference.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; back_url={{BACK_URL}}","[NAV] Navigate to {{BACK_URL}} > Catalog > Products; [BLADE] Open a configurable product; [BLADE] Click Configuration tab/blade; [ACT] Click Add Section button; [ACT] Set section name to Test Product Section; [ACT] Set type to Product; [ACT] Toggle isRequired to true; [ACT] Click Add Options; select at least 2 option products; set quantity for each; [SAVE] Click Save on the section blade; [WAIT] Wait for success notification; [BLADE] Verify section appears in the configuration sections list","[TOAST] Success notification displayed after save; [FORM] Section name=Test Product Section persisted; [FORM] Section type=Product; [FORM] isRequired=true; [BLADE] Section visible in configuration list with correct name and type; [GRID] Options list shows the added products with quantities","[API] GET configuration API returns the new Product section; [STOREFRONT] After reindex (30-60s); productConfiguration query returns the section on storefront; [CONSOLE] No JS errors in admin during create; [NETWORK] No 4xx/5xx on save","Save button unresponsive; 500 error on save; section not appearing in list after save; type dropdown missing Product option",Delete created section after test,GAP-CFG-002,Manual
CFG-ADM-002,Admin Create Text Section with Required/Optional Toggle,Configurable Products > Admin UI > Text Section CRUD,High,,ECL-14.1,"Admin logged in at {{BACK_URL}}. A configurable product exists.","admin={{ADMIN_EMAIL}}; admin_pass={{ADMIN_PASSWORD}}; back_url={{BACK_URL}}","[NAV] Navigate to {{BACK_URL}} > Catalog > Products; [BLADE] Open a configurable product > Configuration tab; [ACT] Click Add Section; [ACT] Set name to Test Text Section; [ACT] Set type to Text; [ACT] Toggle isRequired to false; [SAVE] Click Save; [WAIT] Success notification; [BLADE] Open the created section; [ACT] Toggle isRequired to true; [SAVE] Click Save; [WAIT] Success notification","[TOAST] Success notification on initial create; [FORM] Section name=Test Text Section; type=Text; isRequired=false; [TOAST] Success notification on toggle update; [FORM] isRequired now shows true after second save","[API] GET configuration returns Text section with isRequired matching last saved state; [CONSOLE] No JS errors; [NETWORK] No 4xx/5xx","isRequired toggle not saving; type=Text not available in dropdown; save failing with validation error",Delete created section after test,GAP-CFG-002,Manual
