ID,Title,Section,Type,Priority,Estimate,Preconditions,Steps,Expected Result,References,Automation Status
TC-4565-001,Modal Opens Without Error on Reopen (Regression from VCST-4618),BOPIS > Cart Modal > Reopen Regression,Defect Verification,Critical,8m,"- PR #2188 deployed to QA
- Signed in as qa-user-04@virtocommerce.com / Test123!
- Desktop 1920x1080
- Product in cart (Bolts category or any BOPIS-eligible product)
- Pickup delivery method selected
- ""Downtown Store"" (BOPIS-LOC-001) previously confirmed as pickup location via: open modal > click Downtown Store > click Select > verify modal closes and cart shows location","1. Confirm ""Downtown Store"" via: open pickup modal > click Downtown Store in list > click Select in info card > verify cart SHIPPING DETAILS shows Downtown Store
2. Note the confirmed location text shown in SHIPPING DETAILS
3. Click the pencil/edit icon next to the confirmed pickup address
4. Wait up to 5 seconds for the modal to load
5. Check browser Console tab for JS errors
6. Observe any toast notifications on the cart page
7. Verify location list is populated with at least one entry
8. Verify the map renders with visible markers
9. Close the modal by clicking the X button","- Modal opens on second open without any error toast (no ""Something went wrong"" toast)
- Browser Console contains zero JS errors related to pickup locations
- Location list populates with entries
- Map renders with markers (not blank grey box)
- Modal closes cleanly when X is clicked",VCST-4565 TC-001 / VCST-4618,Manual
TC-4565-002,Pre-selected Location is Visually Highlighted in the List on Reopen,BOPIS > Cart Modal > Pre-selection > List Highlight,Functional,Critical,10m,"- PR #2188 deployed
- Desktop 1920x1080
- Product in cart, Pickup method selected
- ""Downtown Store"" (BOPIS-LOC-001 - 123 Main Street, Los Angeles CA) confirmed as pickup location","1. Confirm ""Downtown Store"" using: open pickup modal > click Downtown Store > click Select > verify cart shows location
2. Click the pencil/edit icon next to confirmed location to reopen the modal
3. Examine the location list in the left panel - observe visual appearance of each row
4. Locate the ""Downtown Store"" row and compare its appearance against other rows (e.g., ""Westside Mall"")
5. Use browser_snapshot to inspect the accessible state (ARIA attributes) of the Downtown Store row
6. Take a screenshot capturing the Downtown Store row and at least one adjacent unselected row
7. Click on a different location (e.g., ""Westside Mall"") to verify unselected appearance is distinct","- ""Downtown Store"" row has a visually distinct appearance compared to all other rows: highlighted background color (primary/blue), checked radio button indicator, or active border/outline
- Visual distinction is present immediately on modal open without any user interaction
- Accessible state of selected row includes checked: true or aria-selected: true
- Clicking a different row switches the highlight to that row; Downtown Store returns to default",VCST-4565 TC-002,Manual
TC-4565-003,Map Marker is Highlighted for the Confirmed Location on Reopen,BOPIS > Cart Modal > Pre-selection > Map Marker,Functional,Critical,10m,"- PR #2188 deployed
- Desktop 1920x1080
- ""Downtown Store"" (lat: 34.0522 lng: -118.2437) confirmed as pickup location
- At least two pickup location markers visible on map simultaneously","1. Confirm ""Downtown Store"" using Standard Confirm-Location Sequence
2. Click the pencil/edit icon to reopen the modal
3. Wait for the map to fully render and markers to appear
4. Locate the marker corresponding to ""Downtown Store"" on the map (Los Angeles area)
5. Compare visual appearance of Downtown Store marker against nearby unselected markers (e.g., BOPIS-LOC-021 Nearby Location at 34.0521 -118.2438)
6. Take a screenshot of the map showing the highlighted marker and at least one other unselected marker
7. Click a different marker on the map (not Downtown Store) to verify it becomes highlighted
8. Close the modal by clicking X","- Downtown Store map marker is visually distinct from unselected markers: different color (e.g., filled/active vs default gray), larger size, or different icon shape
- Highlighted marker state is present immediately on modal open without user interaction
- Clicking a different marker activates it; Downtown Store marker may revert to default
- Map renders without errors",VCST-4565 TC-003,Manual
TC-4565-004,List Auto-Scrolls to Bring Pre-selected Item into View,BOPIS > Cart Modal > Pre-selection > Scroll Behavior,Functional,High,12m,"- PR #2188 deployed
- Desktop 1920x1080
- A pickup location positioned below the fold of the initial list view is confirmed
- Use BOPIS-LOC-050 (Filter Test - Small Store, 500 Small Location Ln, Los Angeles CA 90005) as it appears near the bottom of the list
- If all locations fit without scrolling at 1920x1080, mark TC as N/A with explanation","1. Open pickup modal for the first time (no prior selection) - verify list opens at top showing topmost entries
2. Manually scroll the list downward to confirm ""Filter Test - Small Store"" is not visible at the default top position
3. Scroll back to top of list
4. Click ""Filter Test - Small Store"" in the list
5. Click ""Select"" in the Location Info Card - verify modal closes and cart shows ""Filter Test - Small Store""
6. Click the pencil/edit icon to reopen the modal
7. Observe the initial scroll position of the location list when modal finishes loading
8. Verify ""Filter Test - Small Store"" is visible within the list viewport WITHOUT any manual scrolling
9. Take a screenshot of the list panel showing the auto-scrolled position
10. Verify the scroll position shows selected item in context (other items above or below visible)","- On modal reopen the list is NOT at the top - it has scrolled so that ""Filter Test - Small Store"" is visible within the list panel viewport
- Auto-scrolled location is visible without any manual scrolling by the user
- Selected item is visible in context showing surrounding entries
- Behavior is consistent across two reopen attempts
- If all locations fit on screen without scroll: mark N/A and document with screenshot",VCST-4565 TC-004,Manual
TC-4565-005,No Pre-selection When No Location Has Been Confirmed (Clean State),BOPIS > Cart Modal > Pre-selection > Empty State,Functional,Critical,8m,"- PR #2188 deployed
- Desktop 1920x1080
- Product in cart Pickup method selected
- No pickup location has been confirmed (user has NOT used confirm flow)
- Cart SHIPPING DETAILS shows ""Select pickup location"" or empty address field","1. Complete Standard Setup: product in cart Pickup selected - do NOT confirm any location
2. Verify cart SHIPPING DETAILS shows ""Select pickup location"" or empty field (no location name)
3. Click ""Select pickup location"" or the pencil icon to open the modal
4. Examine the location list in the left panel - observe visual appearance of all visible rows
5. Use browser_snapshot to inspect accessible state of all location rows
6. Take a screenshot of the full list panel
7. Examine the map for any highlighted markers
8. Close the modal by clicking X","- All location rows appear with identical default/unselected visual styling (no background highlight, no checked radio indicator, no active border on any row)
- No row has aria-selected: true or checked: true in accessible state
- No map marker is visually distinct from others (no highlighted/active marker)
- Console shows no errors
- Modal closes cleanly; cart still shows no confirmed location",VCST-4565 TC-005,Manual
TC-4565-006,Changing Selection from a Pre-selected State,BOPIS > Cart Modal > Pre-selection > Selection Change,Functional,High,12m,"- PR #2188 deployed
- Desktop 1920x1080
- ""Downtown Store"" (BOPIS-LOC-001) confirmed as initial pickup location
- ""Westside Mall"" (BOPIS-LOC-002 - 456 Shopping Center Dr Los Angeles CA 90025) available in location list","1. Confirm ""Downtown Store"" using Standard Confirm-Location Sequence - cart shows Downtown Store in SHIPPING DETAILS
2. Click the pencil/edit icon to reopen the modal - verify Downtown Store row is highlighted in the list
3. Click on ""Westside Mall"" in the location list
4. Verify Location Info Card opens for ""Westside Mall"" showing name and address (456 Shopping Center Dr Los Angeles CA 90025)
5. Verify ""Select"" button is present in the Location Info Card
6. Click the ""Select"" button
7. Verify info card closes and modal closes
8. Observe SHIPPING DETAILS on the cart page
9. Click the pencil/edit icon to reopen the modal a second time
10. Examine the location list
11. Take a screenshot of the list showing new pre-selection state
12. Close modal by clicking X","- Cart SHIPPING DETAILS shows ""Westside Mall"" (or its address) after confirming - not ""Downtown Store""
- On third modal open ""Westside Mall"" row is highlighted/pre-selected; ""Downtown Store"" row is in default unselected state
- Only one location is highlighted at a time (no dual-selection state)
- Info card showed correct Westside Mall details before confirming
- Select button was present and functional",VCST-4565 TC-006,Manual
TC-4565-007,Cancel / Close Modal Preserves Original Confirmed Location,BOPIS > Cart Modal > Pre-selection > Cancel Behavior,Functional,Critical,10m,"- PR #2188 deployed
- Desktop 1920x1080
- ""Downtown Store"" (BOPIS-LOC-001) confirmed as pickup location
- ""Westside Mall"" (BOPIS-LOC-002) available in list","1. Confirm ""Downtown Store"" using Standard Confirm-Location Sequence - note the exact text shown in SHIPPING DETAILS (e.g. ""Downtown Store"" or ""123 Main Street Los Angeles CA 90012"")
2. Click the pencil/edit icon to reopen the modal - verify Downtown Store row is highlighted
3. Click on ""Westside Mall"" in the location list
4. Location Info Card opens for Westside Mall
5. Click ""Cancel"" in the Location Info Card
6. Verify info card closes - observe which row is highlighted in the list
7. Click the X (close) button on the main modal
8. Observe SHIPPING DETAILS section in the cart - note the location name shown
9. Check browser Console for errors
10. Click the pencil icon again to reopen the modal a third time
11. Verify which row is highlighted","- After Cancel: info card closes and returns to list; Downtown Store row is still highlighted (Westside Mall is NOT selected)
- After X close: cart SHIPPING DETAILS still shows ""Downtown Store"" unchanged from step 1
- After third modal open: Downtown Store row is again pre-highlighted (pre-selection persisted through cancel and close)
- Console contains no errors during cancel and close sequence",VCST-4565 TC-007 / BOPIS-015,Manual
TC-4565-008,Delivery Method Switch Clears Pickup Selection; Modal Reopens in Clean State,BOPIS > Cart Modal > Pre-selection > Delivery Method Switch,Functional,High,12m,"- PR #2188 deployed
- Desktop 1920x1080
- ""Downtown Store"" confirmed as pickup location
- Delivery (shipping) method option available in SHIPPING DETAILS section","1. Confirm ""Downtown Store"" using Standard Confirm-Location Sequence - cart shows Downtown Store
2. In SHIPPING DETAILS click the ""Delivery"" option (radio button or tab) to switch to standard shipping delivery
3. Verify delivery method changes to Delivery - pickup section disappears or is hidden; no pickup location name shown
4. Click the ""Pickup"" option to switch back to Pickup delivery method
5. Verify the pickup address field - check whether Downtown Store is pre-filled or field is empty/shows ""Select pickup location""
6. Click ""Select pickup location"" or the pencil icon to open the modal
7. Examine the location list for any highlighted rows
8. Use browser_snapshot to check for aria-selected or checked attributes on any row
9. Take a screenshot of the list in this state
10. Examine the map for any highlighted markers
11. Close the modal without selecting a location","- After Pickup > Delivery > Pickup cycle: cart shows empty pickup address (""Select pickup location"" - not pre-filled with Downtown Store)
- Pickup modal opens in clean state: all list rows have default unselected appearance (no highlight on any row)
- No map marker is highlighted
- No ARIA selection attributes on any row
- Delivery method switching does not cause console errors
- Modal behaves identically to TC-4565-005 clean/empty state",VCST-4565 TC-008 / BOPIS-027,Manual
TC-4565-009,Country / State / City Facet Filters Functional After PR #2188 (Regression),BOPIS > Cart Modal > Filters > Regression,Functional,High,15m,"- PR #2188 deployed
- Desktop 1920x1080
- Product in cart Pickup selected
- Any pickup location confirmed (e.g., Downtown Store)
- Pickup locations in multiple countries states and cities available in QA environment","1. Reopen pickup modal after confirming any location - verify pre-selection state active and filters visible
2. Locate Country (address_countryname) filter section
3. Click ""United States"" in Country filter
4. Verify location list updates to show only United States locations; map updates to show matching markers
5. Verify pre-selected location (if in United States) retains its highlight in filtered results
6. Click ""United States"" again to deselect - verify full list and map restore
7. Locate State/Region (address_regionname) filter section
8. Click ""California"" state filter
9. Verify list shows only California locations; map updates
10. Clear the State filter - verify full list restores
11. Locate City (address_city) filter section
12. Click ""Los Angeles"" city filter
13. Verify list shows only Los Angeles locations
14. Clear City filter - verify full list restores
15. Apply State: California AND City: Los Angeles simultaneously - verify combined AND filtering
16. Clear all filters - verify full list restores","- All three filter types (Country State City) are visible and functional in the modal after PR #2188
- Applying each filter correctly reduces the location list to matching entries
- Map updates in sync with list on every filter change
- Clearing each filter restores the full location list
- Pre-selection highlight persists when selected location is within filtered results
- Combined filter (AND logic) works correctly
- No console errors during filter interactions",VCST-4565 TC-009 / BOPIS-019 / BOPIS-020,Manual
TC-4565-010,Radio Button Indicator Present in Cart Modal (Regression from VCST-4584),BOPIS > Cart Modal > Regression > Radio Indicator,Functional,High,8m,"- PR #2188 deployed
- Desktop 1920x1080
- Product in cart Pickup selected
- Any pickup location confirmed (for pre-selection state)
- A BOPIS-eligible product detail page accessible for contrast test","1. Click pencil icon to open BOPIS modal from cart - verify modal opens
2. Examine location list entries for circular radio button elements next to each location name
3. Verify confirmed location row shows a filled/checked radio indicator
4. Verify unselected rows show an empty/unchecked radio indicator
5. Take a screenshot showing radio buttons in both selected and unselected states
6. Use browser_snapshot to verify radio input elements (role=""radio"") exist in DOM within location list
7. Navigate to a product detail page with BOPIS widget (any BOPIS-eligible product in Bolts category)
8. Open the product page BOPIS view-only modal by clicking the BOPIS CTA
9. Examine the location list in the product page modal for radio button visibility
10. Close product page modal and return to cart","- Cart BOPIS modal location list shows circular radio button indicators on each row
- Pre-selected location row shows filled/checked radio button; unselected rows show empty/unchecked radio buttons
- browser_snapshot confirms role=""radio"" elements present in cart modal location list
- Product page BOPIS modal does NOT show radio button circles (noIndicator behavior preserved - VCST-4584 regression)
- PR #2188 did not accidentally remove radio indicators from cart modal
- PR #2188 did not accidentally add radio indicators to product page modal",VCST-4565 TC-010 / VCST-4584 / BOPIS-032 / BOPIS-034,Manual
TC-4565-011,Pre-selection Persists After Applying and Removing a Facet Filter,BOPIS > Cart Modal > Pre-selection > Filter Interaction,Functional,Medium,10m,"- PR #2188 deployed
- Desktop 1920x1080
- ""Downtown Store"" (BOPIS-LOC-001 Los Angeles CA United States) confirmed as pickup location
- Pickup locations in multiple cities available (including New York if configured)","1. Reopen modal after confirming ""Downtown Store"" - verify Downtown Store is pre-highlighted
2. Apply City filter: ""Los Angeles""
3. Verify list narrows to Los Angeles locations - verify Downtown Store is still visible in filtered list
4. Verify Downtown Store row RETAINS its highlight within the filtered results
5. Remove the City filter
6. Verify full list restores - verify Downtown Store is still highlighted in the full list
7. Apply City filter: ""New York"" (if available) - list narrows to NY locations; Downtown Store is NOT in results
8. Verify no row is highlighted in the NY-filtered results (no spurious highlight)
9. Remove the City filter
10. Verify full list restores with Downtown Store highlighted again","- Pre-selection highlight maintained when selected location is within filtered results (step 4)
- Pre-selection highlight persists after removing filter (step 6)
- When selected location is filtered out no other row becomes spuriously highlighted (step 8)
- Pre-selection correctly restores when filter is removed (step 10)
- Pre-selection state remains stable through full filter apply/remove cycle",VCST-4565 TC-011,Manual
TC-4565-012,Pre-selection Persists After Using the Keyword Search Field,BOPIS > Cart Modal > Pre-selection > Search Interaction,Functional,Medium,10m,"- PR #2188 deployed
- Desktop 1920x1080
- ""Downtown Store"" (BOPIS-LOC-001 Los Angeles CA) confirmed as pickup location
- Keyword search field present in the pickup modal","1. Reopen modal after confirming ""Downtown Store"" - verify Downtown Store pre-highlighted
2. Locate the keyword search field in the modal (text input for location name or address)
3. Type ""Downtown"" in the search field
4. Verify list filters to show locations matching ""Downtown"" - Downtown Store appears in filtered results
5. Verify Downtown Store row RETAINS its highlight in the filtered search results
6. Clear the search field (click X or backspace all characters)
7. Verify full list restores - verify Downtown Store is still highlighted
8. Type ""Westside"" in the search field - list filters to Westside Mall; Downtown Store is not in results
9. Verify no row is highlighted in the Westside-filtered results (Westside Mall should not be highlighted)
10. Clear the search field
11. Verify full list restores with Downtown Store highlighted again","- Pre-selection highlight maintained when selected location appears in keyword search results (step 5)
- Pre-selection persists after clearing search (step 7)
- When selected location is not in search results no other row is spuriously highlighted (step 9)
- Pre-selection correctly restores when search is cleared (step 11)
- Search functionality itself works correctly: list filters on input restores on clear",VCST-4565 TC-012,Manual
